CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"251370 Santa Rita";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"251390 São Bento";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"251490 São Mamede";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"251530 Sapé";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"251550 Serra Branca";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"251600 Solânea";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"251610 Soledade";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"251620 Sousa";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"251630 Sumé";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"251650 Taperoá";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"251670 Teixeira";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"251690 Uiraúna";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"260005 Abreu e Lima";10;10;-;-;-;-;-;-;-;-;-;-;-;-
"260010 Afogados da Ingazeira";31;31;17;17;17;17;17;17;17;17;17;17;17;17
"260020 Afrânio";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260030 Agrestina";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"260040 Água Preta";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"260070 Aliança";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260080 Altinho";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260090 Amaraji";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"260110 Araripina";27;27;27;27;27;20;27;27;27;27;27;27;27;27
"260120 Arcoverde";6;6;6;6;6;6;6;10;10;10;10;10;10;12
"260140 Barreiros";18;6;6;6;18;18;18;18;18;18;18;18;18;18
"260170 Belo Jardim";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"260180 Betânia";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260190 Bezerros";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"260210 Bom Conselho";8;-;-;-;-;-;-;-;-;-;-;-;-;-
"260230 Bonito";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"260240 Brejão";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260260 Brejo da Madre de Deus";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260270 Buenos Aires";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260290 Cabo de Santo Agostinho";16;16;16;16;16;16;16;20;20;20;20;20;20;20
"260300 Cabrobó";7;7;7;7;16;16;16;16;16;16;16;16;16;16
"260310 Cachoeirinha";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260320 Caetés";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260345 Camaragibe";40;40;40;40;40;40;40;40;40;40;40;40;-;-
"260370 Canhotinho";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"260380 Capoeiras";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260390 Carnaíba";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260400 Carpina";16;8;8;8;8;8;8;8;8;8;8;8;8;8
"260410 Caruaru";59;45;37;37;37;37;37;37;37;37;51;51;57;57
"260450 Chã Grande";8;8;8;8;8;8;8;8;8;8;8;8;8;4
"260470 Correntes";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260480 Cortês";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"260490 Cumaru";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260500 Cupira";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260520 Escada";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"260540 Feira Nova";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260560 Flores";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260570 Floresta";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"260600 Garanhuns";43;43;43;43;43;43;27;27;27;27;27;27;27;27
"260610 Glória do Goitá";7;7;7;7;7;-;-;-;-;-;-;-;-;-
"260620 Goiana";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"260640 Gravatá";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"260650 Iati";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260680 Igarassu";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"260765 Itambé";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"260770 Itapetim";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"260790 Jaboatão dos Guararapes";127;127;127;127;130;130;130;130;130;130;130;130;130;130
"260795 Jaqueira";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"260805 Jatobá";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260850 Lagoa de Itaenga";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260845 Lagoa do Carro";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260860 Lagoa do Ouro";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"260870 Lagoa dos Gatos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260890 Limoeiro";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"260900 Macaparana";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"260910 Machados";3;-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 Mirandiba";1;-;-;-;-;-;-;-;-;-;-;-;-;-
"260940 Moreno";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"260950 Nazaré da Mata";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260960 Olinda";17;18;18;17;18;18;18;18;18;18;18;18;18;18
"260970 Orobó";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260990 Ouricuri";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"261000 Palmares";54;54;54;54;54;54;54;54;54;54;54;54;54;54
"261020 Panelas";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"261030 Paranatama";-;-;-;-;-;-;-;1;1;1;1;1;1;1
"261040 Parnamirim";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"261050 Passira";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261060 Paudalho";24;24;24;24;24;24;24;24;24;24;24;24;24;24
"261070 Paulista";60;60;60;60;60;46;51;51;51;51;51;51;51;51
"261080 Pedra";2;-;-;-;-;-;-;-;2;2;2;2;2;2
"261090 Pesqueira";10;10;10;10;10;10;10;10;10;10;10;10;9;9
"261100 Petrolândia";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"261110 Petrolina";21;21;21;21;21;21;21;21;21;21;21;21;21;21
"261130 Pombos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"261150 Quipapá";6;-;-;-;-;-;-;-;-;-;-;-;-;-
"261160 Recife";713;718;718;718;716;715;680;712;712;712;712;712;712;712
"261170 Riacho das Almas";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"261200 Sairé";4;-;-;-;-;-;-;-;-;-;-;-;-;-
"261220 Salgueiro";19;19;19;19;19;19;19;19;20;20;20;20;20;20
"261230 Saloá";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261247 Santa Cruz da Baixa Verde";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261250 Santa Cruz do Capibaribe";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"261260 Santa Maria da Boa Vista";11;-;-;-;-;-;-;-;-;-;-;-;-;-
"261300 São Bento do Una";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"261320 São João";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"261330 São Joaquim do Monte";13;7;7;7;7;7;7;7;7;7;7;7;7;7
"261350 São José do Belmonte";4;8;8;8;8;8;8;8;8;8;8;8;8;8
"261360 São José do Egito";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"261370 São Lourenço da Mata";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"261380 São Vicente Ferrer";7;7;7;7;7;7;7;7;7;7;7;7;-;-
"261390 Serra Talhada";16;11;10;10;10;10;10;10;10;10;10;10;10;10
"261400 Serrita";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261420 Sirinhaém";6;6;6;-;-;-;-;-;-;-;-;-;-;-
"261450 Surubim";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"261460 Tabira";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"261485 Tamandaré";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261500 Taquaritinga do Norte";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"261530 Timbaúba";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"261540 Toritama";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"261560 Trindade";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261570 Triunfo";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261590 Tuparetama";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"261600 Venturosa";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"261620 Vertentes";16;16;16;6;6;6;6;6;6;6;6;6;6;16
"261640 Vitória de Santo Antão";22;22;22;22;22;22;22;22;22;22;22;22;22;22
"270030 Arapiraca";94;78;78;78;78;78;78;78;78;78;78;78;78;78
"270040 Atalaia";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270070 Batalha";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"270170 Capela";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270230 Coruripe";65;65;65;65;65;65;65;65;65;65;65;65;65;65
"270240 Delmiro Gouveia";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"270380 Joaquim Gomes";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"270400 Junqueiro";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270430 Maceió";146;146;147;147;147;149;149;149;149;147;147;147;147;147
"270440 Major Isidoro";12;12;12;12;12;12;12;12;12;12;12;12;10;10
"270550 Murici";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"270570 Olho d'Água das Flores";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"270630 Palmeira dos Índios";22;22;22;22;22;22;22;22;22;22;22;22;22;22
"270640 Pão de Açúcar";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"270670 Penedo";23;23;5;5;5;5;5;5;5;5;5;5;5;5
"270690 Pilar";18;18;18;18;16;16;16;16;16;16;16;16;16;16
"270710 Piranhas";8;-;-;-;-;-;-;-;-;-;-;-;-;-
"270730 Porto Calvo";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"270760 Quebrangulo";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"270770 Rio Largo";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270800 Santana do Ipanema";20;20;20;20;20;20;20;20;20;20;20;20;20;20
"270820 São Brás";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"270840 São José da Tapera";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270860 São Miguel dos Campos";30;30;30;30;30;30;30;30;30;30;30;30;30;30
"270915 Teotônio Vilela";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"270930 União dos Palmares";14;14;14;14;5;5;5;2;26;26;24;24;24;24
"270940 Viçosa";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"280030 Aracaju";193;193;178;178;180;180;178;175;175;175;175;158;158;158
"280120 Canindé de São Francisco";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"280210 Estância";83;64;64;64;20;20;20;22;22;22;44;38;38;38
"280290 Itabaiana";24;31;31;31;31;31;31;31;31;31;31;31;31;31
"280340 Japoatã";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"280350 Lagarto";34;49;49;49;49;49;49;49;49;41;41;41;41;41
"280450 Nossa Senhora da Glória";1;1;1;1;1;-;-;-;-;-;-;-;-;-
"280480 Nossa Senhora do Socorro";5;5;5;5;5;-;-;-;-;-;-;-;-;-
"280560 Porto da Folha";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"280570 Propriá";15;15;15;15;11;11;11;11;11;11;11;11;11;11
"280590 Riachuelo";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290020 Abaré";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"290070 Alagoinhas";32;32;32;32;32;32;32;24;24;24;24;24;23;23
"290080 Alcobaça";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290100 Amargosa";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"290115 América Dourada";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"290120 Anagé";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"290160 Antas";31;31;31;31;31;31;31;31;31;31;31;31;31;31
"290200 Aracatu";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"290210 Araci";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"290240 Aurelino Leal";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"290250 Baianópolis";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290260 Baixa Grande";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290270 Barra";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"290280 Barra da Estiva";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"290290 Barra do Choça";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"290300 Barra do Mendes";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"290320 Barreiras";85;85;84;84;84;84;84;84;84;84;84;84;84;84
"290323 Barro Alto";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"290330 Barro Preto";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"290340 Belmonte";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"290350 Belo Campo";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"290390 Bom Jesus da Lapa";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"290400 Boninal";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"290410 Boquira";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290430 Brejões";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"290440 Brejolândia";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290460 Brumado";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"290490 Cachoeira";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"290500 Caculé";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290510 Caém";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290520 Caetité";30;30;30;30;30;30;30;30;20;35;35;20;35;35
"290530 Cafarnaum";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290550 Caldeirão Grande";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"290560 Camacan";6;10;10;10;11;11;11;11;11;11;11;11;11;11
"290570 Camaçari";69;69;69;69;69;69;69;69;69;69;82;82;82;82
"290590 Campo Alegre de Lourdes";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290600 Campo Formoso";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"290610 Canápolis";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"290620 Canarana";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"290630 Canavieiras";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"290650 Candeias";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290660 Candiba";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290670 Cândido Sales";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290680 Cansanção";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"290682 Canudos";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290687 Capim Grosso";21;21;21;21;21;21;21;21;21;21;21;21;21;21
"290690 Caravelas";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"290710 Carinhanha";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290720 Casa Nova";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290730 Castro Alves";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"290750 Catu";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"290760 Central";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290780 Cícero Dantas";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"290790 Cipó";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290800 Coaraci";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"290810 Cocos";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"290830 Conceição do Almeida";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"290840 Conceição do Coité";25;25;25;25;25;25;25;25;25;25;25;25;25;25
"290850 Conceição do Jacuípe";8;8;8;-;-;-;-;-;-;-;-;-;-;-
"290890 Coração de Maria";12;12;12;12;12;12;23;23;23;23;23;23;23;23
"290910 Coribe";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"290930 Correntina";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290940 Cotegipe";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"290950 Cravolândia";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290960 Crisópolis";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"290970 Cristópolis";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"290980 Cruz das Almas";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"291005 Dias d'Ávila";10;10;10;10;10;10;10;10;10;10;10;10;16;16
"291010 Dom Basílio";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"291040 Encruzilhada";5;5;5;5;-;-;5;5;5;5;5;5;5;5
"291050 Entre Rios";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"291060 Esplanada";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"291070 Euclides da Cunha";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"291072 Eunápolis";32;32;32;32;24;24;24;24;24;24;24;24;24;24
"291080 Feira de Santana";124;124;124;124;124;124;124;124;124;124;124;124;124;124
"291085 Filadélfia";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"291110 Formosa do Rio Preto";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"291120 Gandu";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"291130 Gentio do Ouro";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"291170 Guanambi";40;32;32;20;20;25;25;25;25;25;25;25;22;22
"291180 Guaratinga";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"291190 Iaçu";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"291200 Ibiassucê";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"291230 Ibicuí";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291250 Ibipitanga";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"291290 Ibirataia";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"291300 Ibitiara";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"291310 Ibititá";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"291320 Ibotirama";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"291340 Igaporã";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"291350 Iguaí";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"291360 Ilhéus";110;110;110;110;110;110;110;110;110;110;110;110;110;110
"291390 Ipiaú";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"291400 Ipirá";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291410 Ipupiara";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"291420 Irajuba";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"291440 Iraquara";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"291460 Irecê";47;47;30;30;30;30;30;30;30;30;30;30;30;30
"291465 Itabela";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291470 Itaberaba";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"291480 Itabuna";84;84;84;84;84;84;84;84;84;84;84;84;84;84
"291490 Itacaré";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291530 Itagimirim";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"291540 Itaju do Colônia";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"291550 Itajuípe";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"291560 Itamaraju";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"291580 Itambé";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"291600 Itanhém";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"291610 Itaparica";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"291640 Itapetinga";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"291650 Itapicuru";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"291670 Itaquara";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"291680 Itarantim";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"291690 Itiruçu";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"291700 Itiúba";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"291710 Itororó";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"291730 Ituberá";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"291735 Jaborandi";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"291740 Jacaraci";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"291750 Jacobina";36;12;12;12;12;12;12;12;12;12;12;12;12;12
"291760 Jaguaquara";28;28;28;28;28;28;28;28;28;28;28;28;28;28
"291770 Jaguarari";-;-;-;-;-;6;6;6;6;6;6;6;6;6
"291800 Jequié";60;60;68;68;68;77;77;77;77;77;77;77;77;77
"291810 Jeremoabo";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"291820 Jiquiriçá";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"291840 Juazeiro";88;76;76;76;76;76;69;75;75;75;75;75;75;75
"291845 Jucuruçu";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"291850 Jussara";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291855 Jussari";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291875 Lagoa Real";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"291880 Laje";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"291905 Lajedo do Tabocal";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"291915 Lapão";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"291920 Lauro de Freitas";32;32;32;32;32;32;32;32;32;32;32;32;32;32
"291940 Licínio de Almeida";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"291950 Livramento de Nossa Senhora";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"291955 Luís Eduardo Magalhães";8;8;8;8;8;8;8;8;8;8;8;8;11;11
"291970 Macarani";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291980 Macaúbas";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"291992 Madre de Deus";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292010 Mairi";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"292050 Maracás";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"292060 Maragogipe";-;-;-;-;-;-;-;-;3;3;3;3;3;3
"292080 Marcionílio Souza";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"292100 Mata de São João";12;12;12;12;12;12;12;12;12;12;12;11;11;11
"292110 Medeiros Neto";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"292120 Miguel Calmon";24;24;24;24;24;24;24;24;24;24;24;24;24;24
"292130 Milagres";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"292140 Mirangaba";1;1;-;1;-;-;-;-;-;-;-;-;-;-
"292150 Monte Santo";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"292170 Morro do Chapéu";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292180 Mortugaba";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"292190 Mucugê";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"292200 Mucuri";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"292205 Mulungu do Morro";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"292210 Mundo Novo";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"292230 Muritiba";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"292240 Mutuípe";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292250 Nazaré";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"292270 Nova Canaã";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292300 Nova Viçosa";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"292310 Olindina";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"292340 Palmas de Monte Alto";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292360 Paramirim";28;28;28;28;30;30;30;30;30;30;30;30;30;30
"292370 Paratinga";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"292400 Paulo Afonso";48;48;48;48;69;69;41;41;41;41;41;41;41;41
"292430 Piatã";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"292440 Pilão Arcado";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"292450 Pindaí";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292460 Pindobaçu";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"292480 Piritiba";6;6;6;6;4;4;4;4;4;4;4;4;4;4
"292490 Planaltino";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292500 Planalto";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"292510 Poções";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292520 Pojuca";25;25;25;25;25;25;25;25;25;25;25;25;25;25
"292525 Ponto Novo";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292530 Porto Seguro";51;51;51;51;51;51;51;51;51;51;51;51;51;51
"292550 Prado";12;12;12;12;12;12;12;12;12;12;12;12;-;12
"292560 Presidente Dutra";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292580 Queimadas";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292595 Rafael Jambeiro";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292600 Remanso";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"292610 Retirolândia";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"292630 Riachão do Jacuípe";37;37;37;37;37;37;37;37;37;37;37;37;37;37
"292640 Riacho de Santana";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"292660 Ribeira do Pombal";30;30;30;30;30;30;30;30;30;30;30;30;30;30
"292700 Rio Real";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"292720 Ruy Barbosa";28;28;28;28;28;28;28;28;28;28;28;28;28;28
"292740 Salvador";561;560;560;560;560;560;560;550;550;550;550;550;549;549
"292770 Santa Cruz Cabrália";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"292790 Santa Inês";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292810 Santa Maria da Vitória";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"292840 Santa Rita de Cássia";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"292850 Santa Teresinha";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292800 Santaluz";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"292820 Santana";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"292860 Santo Amaro";28;28;28;28;28;28;28;28;28;28;28;28;28;28
